path	binary
roland.ext.sd.dt.multi.timbre.part4.rxCh	41DE00481210002300
roland.ext.sd.dt.multi.timbre.part4.rxSwitch	41DE00481210002301
roland.ext.sd.dt.multi.timbre.part4.unknown02	41DE00481210002302
roland.ext.sd.dt.multi.timbre.part4.rxPort	41DE00481210002303
roland.ext.sd.dt.multi.timbre.part4.bankMsb	41DE00481210002304
roland.ext.sd.dt.multi.timbre.part4.bankLsb	41DE00481210002305
roland.ext.sd.dt.multi.timbre.part4.program	41DE00481210002306
roland.ext.sd.dt.multi.timbre.part4.volume	41DE00481210002307
roland.ext.sd.dt.multi.timbre.part4.panpot	41DE00481210002308
roland.ext.sd.dt.multi.timbre.part4.coarseTune	41DE00481210002309
roland.ext.sd.dt.multi.timbre.part4.fineTune	41DE0048121000230a
roland.ext.sd.dt.multi.timbre.part4.monoPoly	41DE0048121000230b
roland.ext.sd.dt.multi.timbre.part4.legato	41DE0048121000230c
roland.ext.sd.dt.multi.timbre.part4.pitchRange	41DE0048121000230d
roland.ext.sd.dt.multi.timbre.part4.portamentoSw	41DE0048121000230e
roland.ext.sd.dt.multi.timbre.part4.portamento	41DE0048121000230f
roland.ext.sd.dt.multi.timbre.part4.portamentoSecondByte	41DE00481210002310
roland.ext.sd.dt.multi.timbre.part4.brightness	41DE00481210002311
roland.ext.sd.dt.multi.timbre.part4.resonance	41DE00481210002312
roland.ext.sd.dt.multi.timbre.part4.attackTime	41DE00481210002313
roland.ext.sd.dt.multi.timbre.part4.releaseTime	41DE00481210002314
roland.ext.sd.dt.multi.timbre.part4.octaveShift	41DE00481210002315
roland.ext.sd.dt.multi.timbre.part4.veloSensitivity	41DE00481210002316
roland.ext.sd.dt.multi.timbre.part4.keyRangeLow	41DE00481210002317
roland.ext.sd.dt.multi.timbre.part4.keyRangeHigh	41DE00481210002318
roland.ext.sd.dt.multi.timbre.part4.keyFadeLow	41DE00481210002319
roland.ext.sd.dt.multi.timbre.part4.keyFadeHigh	41DE0048121000231a
roland.ext.sd.dt.multi.timbre.part4.muteSwitch	41DE0048121000231b
roland.ext.sd.dt.multi.timbre.part4.dry	41DE0048121000231c
roland.ext.sd.dt.multi.timbre.part4.chorus	41DE0048121000231d
roland.ext.sd.dt.multi.timbre.part4.reverb	41DE0048121000231e
roland.ext.sd.dt.multi.timbre.part4.outputAssign	41DE0048121000231f
roland.ext.sd.dt.multi.timbre.part4.mfxSlot	41DE00481210002320
roland.ext.sd.dt.multi.timbre.part4.decayTime	41DE00481210002321
roland.ext.sd.dt.multi.timbre.part4.vibratoRate	41DE00481210002322
roland.ext.sd.dt.multi.timbre.part4.vibratoDepth	41DE00481210002323
roland.ext.sd.dt.multi.timbre.part4.vibratoDelay	41DE00481210002324
roland.ext.sd.dt.multi.timbre.part4.modDepth	41DE00481210002325
roland.ext.sd.dt.multi.timbre.part4.patPitch	41DE00481210002326
roland.ext.sd.dt.multi.timbre.part4.patBrightness	41DE00481210002327
roland.ext.sd.dt.multi.timbre.part4.patAmplitude	41DE00481210002328
roland.ext.sd.dt.multi.timbre.part4.patPitchDepth	41DE00481210002329
roland.ext.sd.dt.multi.timbre.part4.patFilterDepth	41DE0048121000232a
roland.ext.sd.dt.multi.timbre.part4.patAmplitudeDepth	41DE0048121000232b
roland.ext.sd.dt.multi.timbre.part4.ccNumber	41DE0048121000232c
roland.ext.sd.dt.multi.timbre.part4.ccPitch	41DE0048121000232d
roland.ext.sd.dt.multi.timbre.part4.ccBrightness	41DE0048121000232e
roland.ext.sd.dt.multi.timbre.part4.ccAmplitude	41DE0048121000232f
roland.ext.sd.dt.multi.timbre.part4.ccPitchDepth	41DE00481210002330
roland.ext.sd.dt.multi.timbre.part4.ccFilterDepth	41DE00481210002331
roland.ext.sd.dt.multi.timbre.part4.ccAmplitudeDepth	41DE00481210002332
roland.ext.sd.dt.multi.timbre.part4.scaleTune0	41DE00481210002333
roland.ext.sd.dt.multi.timbre.part4.scaleTune1	41DE00481210002334
roland.ext.sd.dt.multi.timbre.part4.scaleTune2	41DE00481210002335
